,input,output,class
28,something for mixing ingredients," ['Mixing Bowl with Lid', 'Hand Mixer', 'Stand Mixer', 'Measuring Cups and Spoons', 'Kitchen Scale']",output: positive
29,something for making homemade sushi rolls," ['Sushi Rice Cooker', 'Nori Sheets', 'Sushi Knife', 'Sushi Mat', 'Sushi Flavored Vinegar']",output: positive
30,musical instruments for beginners," ['Acoustic Guitar', 'Electric Guitar', 'Drums', 'Piano', 'Ukulele']",output: positive
31,something for chopping vegetables," ['Kitchen Knife Set', 'Vegetable Chopper', 'Cutting Board', 'Kitchen Shears', 'Mandoline Slicer']",output: positive
32,item for organizing a home office space," ['Desk Organizer', 'File Cabinet', 'Office Chair', 'Desk Lamp', 'Wall Shelf']",output: positive
33,something for a camping trip," ['Tent','Sleeping Bag','Camping Stove','Water Bottle','Hiking Boots']",output: positive
34,something for a home gym setup," ['Exercise Bike', 'Treadmill', 'Adjustable Dumbbells', 'Resistance Bands', 'Kettlebell']",positive
35,something for an adventurous hike," ['Hiking Boots', 'Water Bottle', 'First Aid Kit', 'Sunscreen', 'Tent']",output: positive
36,searching for tools to enhance gardening experience," ['Gardening Gloves', 'Trowel', 'Hand Pruner', 'Hoe', 'Rake']",output: positive
37,something for making homemade chicken broth," ['Chicken Stock Pot', 'Onion', 'Garlic', 'Celery', 'Bay Leaves']",output: positive
38,something for a delicious dessert making," ['Stand Mixer', 'Immersion Blender', 'KitchenAid Mixer', 'Artisanal Gelato Machine', 'Chocolate Fondue Set']",output: positive
39,something for serving salads," ['Salad Bowls', 'Dressing Cups', 'Cutting Board', 'Knife Set', 'Fruit Tongs']",output: positive
40,something for coffee lovers," ['Coffee Maker', 'Coffee Grinder', 'Coffee Beans', 'Coffee Cups', 'Coffee Spoons']",output: positive
41,something for a sunny beach day," ['Sunglasses', 'Sunscreen', 'Beach Towel', 'Flip Flops', 'Water Bottle']",output: positive
42,something for a crafty diy project," ['Woodworking Tools Kit', 'Paints and Brushes', 'Craft Sticks and Glue', 'Fabric Scissors', 'Sewing Machine']",output: positive
43,something for making pasta," ['Pasta Machine', 'Rolling Pin', 'Measuring Cups and Spoons', 'Pasta Colander', 'Pasta Dough Mixer']",output: positive
44,something for a relaxing bath," ['Bath Bombs', 'Epsom Salt', 'Bath Salts', 'Scented Candles', 'Foam Bath Mat']",positive
45,something for a tropical getaway," ['Sunscreen', 'Swimsuit', 'Beach Towel', 'Flip Flops', 'Sunglasses']",output: positive
46,something for a bedroom decor update," ['Bed Frame with Storage', 'Bedside Table with Lamp', 'Wall Art', 'Comforter Set', 'Rug']",positive
47,something for a home workout," ['Exercise Bike', 'Treadmill', 'Kettlebell', 'Yoga Mat', 'Resistance Bands']",output: positive
48,something for a road trip adventure," ['Travel Backpack','Portable Charger','Travel Toiletry Bag','Road Map and Guidebook', 'Sunglasses']",output: positive
49,something for a coastal road trip," ['Surfboard','Sunglasses','Sunscreen','Beach Towel','Road Trip GPS']",output: positive
50,something for juicing," ['Juicer Machine', 'Fresh Press Juicer', 'Centrifugal Juicer', 'Masticating Juicer', 'Nutrient Extractor']",positive
51,something for a cozy nights sleep," ['Soft Blanket', 'Fuzzy Pajamas', 'Sleep Mask', 'Nature Sounds Machine', 'Weighted Blanket']",output: positive
52,something for a weekend getaway," ['Travel Backpack', 'Portable Charger', 'Sunglasses', 'Water Bottle', 'Scarf']",output: positive
53,something for a cozy reading nook," ['Comfortable Reading Chair', 'Soft Blanket', 'Good Lighting', 'Bookshelf', 'Coffee Table']",output: positive
54,something for making homemade bone broth," ['Instant Pot','Crock-Pot','Mason Jars with Lids and Latches','Bone Broth Kit']",output: positive
55,something for a sustainable kitchen," ['Reusable Water Bottle', 'Eco-Friendly Cutting Board', 'Compost Bin', 'Sustainable Cutlery Set', 'Energy-Efficient Slow Cooker']",output: positive
56,something for a creative art project," ['Art Supplies Kit', 'Canvas and Paint', 'Pencils and Sketchbook', 'Photography Equipment', 'Sculpture Tools']",output: positive
57,something for grilling," ['Grill Pan', 'BBQ Sauce', 'Grill Brush', 'Grill Basket', 'Meat Thermometer']",output: positive
58,something for making homemade guacamole," ['Avocado'], ['Lime'], ['Jalapeno Pepper'], ['Cilantro'], ['Cotija Cheese']",output: positive
59,something for gardening," ['Gardening Gloves', 'Hand Trowel', 'Rake', 'Watering Can', 'Garden Pruner']",output: positive
60,something for a diy home improvement project," ['Power Drill', 'Circular Saw', 'Reciprocating Saw', 'Tile Cutter', 'Level']",output: positive
